a   日曰
nm  孑丞延阻弱陘隆陲彊疆阯弤阺弳孲翗觝觛隓隡魟魱魾魽鰨鱈鱋鱣彐阷陚鮏鯅鯹刍厃夝孒弖弪弪疍陉陉险雏饯馇馇馑馑马马驵驺饯验馇骘骘骛骛鯳鰚鰯鱼鳎鳣鸳鸳鹐鹐鹜鹜鹬鹬
nn  了予阬矜弼粥凳阣陊隃劀魧甔劖刴剥弻魝魣鮄鯻鰂刭夛弜阸饤饤饥饥饩饩魸鮧鯏鯯鲗
no  久孓欠疋孤弧承孩飛陡陝象隊隄豫隧險鱖陔陜欿觚鮂鮡鯠鯷鱁鱌弞癶陿飝乀乁张张负队陨険预颈颋飞饮饮馈馈骇骤魜魞鯐鲼鳀鳜
np  陀急怨恿隱隴鰓阰愻魠魤鮀隳鯤鯰鱺隠鮘麁夞孞孞愗発觗陇隐饦饦馄馄驼骋骢魮鮬鮱鮳鱤鲂鲓鲲鲶鳃鳄鳑鳡
nq  舛甬建降解鮮鱗丮觲鰎觧隣犟阵阵驿鲜鲢鲢鳞
nr  名阿夠陪詹鯛鱔鱷弨阽陭矞觡彄觭鮐魺鮕鮈鮚鮦鮥鮯謽鯃鮶鯦鰔鰫鱵呄廻鮉鮎鯌鰸叾夡孡彁饲饲饴饴饷饷饸饸饹饹馆馆驹骀骆骑鮖鮜鮰鯝鰙鱚鲄鲇鲐鲒鲖鲘鲪鲴鲷鳝鳤
ns  乃防勇勉觔務阞阼陓魴鮓鰳勐弡戼魲鮔鰐鰟劲勈勥勨觹觹觽饬饬驴骋鮬鮳鯎鲂鲈鲈鲊鲊鲓鳄鳑鳓鳕
nt  阱孟盈登隘鱸盄隑孻鱧盁盌阩隥鰛鰮陕饼饼饾饾馌馌骈鮩鯭鰪鳁鳢
nu  乙孔危色免阮院疏陶魷鮑龜夗阢弝阨阭孢巹眢觥觤瞀嶞觬隢魨氄郺鮠鯇鮿鮵鮸鯢鰩鱙鱦亀卺嵍魫巯覴陆陒饣饨饨饱饱饳饳饶饶骁骁骦魢魭魹鯱鱾鱿鲀鲃鲍鲩鲵鳐龟
nv  限陋張飧妴婺隇隈彋鯜鰋鱞娿婱孾廵陙隁鮟鯍鰄鱶饣饻饻馁馁馕馕骧鮾鯘鰃鱲鳂
nw  陳鯔鰡鱕廸廼鮋鯂鯟鰌乪馏馏骝鰏鱩鲉鲻鲾
nx  陷卍隮鱐鱭彇臽馅馅鳒
ny  外陫鯡鮙馋馋骟鮗鯲鯲鰯鲱鳎
o   人
oa  伯佰借倡偺偕智會僧僭儈儲侚偣偆傮僣矰韽龤偖僴氜储储铂锏锗错锠锴镥镨
ob  內佈佩佾侑俑俏倩倆倫偶偏脩備傭禽飾僑僩儒餚矯伂仴氝俙倗偝偁偊偳傋氰傰僪舖餔餬龠侢俌俼倄偙偦傦僃儞儶内帒氞餙餶俩俪傐僀币舗钠钥钸铈铕铞铺销锅锖锦锳镉镐镚镛镝
oc  兵供俱偵貨貪貸債傾賃僎領價頜儐頷償仈伿倛倎偩傔傎僋僨僓儥鎥饙饌饋儹顩饡伵倶僙儧儨罆賲鋚顀顦龥傊傧傧儣氩镇镔镱
od  仔他休余侏保俘氣條傑集餘柋栠偞偨僳僝餑橆罅餼饓龢佅侎侟侾俆俕倮倸傈僷儏儝榘籴雧餜伟侼僺铄铢铩铮锞镍
oe  伋侵俊隻假氯飯傻優雙餿饅伎汆俅复倰俶夎敆傣僈僾餕餟儤瀪矱仅仮伇伖佊傁儍叙敍龣乑伮唛氽钑钣钹铍锓锼锾镀镊镘镬
of  伙你係偽氮焦無絛僚鴒繁鴿黛鯈鶴儻尒伓佘倞倓倷倧烋缹偢焂傃傌傿僄傺傶煲僬儰僸鳹儑餤鴙儦鵂鵀儵鵨鶬儽鷡鷦鸙仦伱倐傫僞儯尓燞緐餻鰵鶽傆钚钬锬锹镖镙镣镳镴鳰鵇
og  仕任全住坐佳佺隹俚堡飪催雉僮僱儸罐侄侳俇侹倠偓偅偟傕矬雂僿雓儓雔餭饈儺糴讎雥仼侱垡玍隺雦飳餁饄傩垈钍钮铚铤铨铿锂锃锉锺锽镗雠饠
oh  入乒份氛修傷僇伢佖飶儩餳饖仯伆偐偒傪劎氱俢俤钐钖钞铋铲铴锈锑锡镌镠飻
oi  付令仞乓伐伶每侍俄俯傅傀傳蝕儀餓儔餞餽儳饑饞伀伝佉伭俬俴倯偫偑僔戧餺仏会侌傉僟罇罎亽仢仫传伪侩俦偿傠劒戗钒钓钗钛钩钰钱铃铉铥铸锇锊锝锵镃镈镪镰镶飠
oj  什午仟倖俾斜傘餌僻罈仵伻佴倅倬隼偮傇傽僆僤鞗餫仠仹伜俥倂儎毎聟飦餠仐伞华朇耸针钎钭铒铧锋锌镡饆饆
ok  仗矢伊伏攸使侯便俟倣仗候氤缺做倏敏敘傚傲餃斂儼佒佼俁矨偰偀傒敜飫傸餀儆儌餪餱饃仸俣偄僌僘劔攵餸仪仭伛伩剱敒敛気钢铟铰锲镁镆镞镦饊
ol  介仲仰伸卸命邱郃偭氕价伄伒氘氚侕氠矧鄇鄃飹鄦餗鄶个侨侪倻厁矫缷邻郐钏钟钾铆铘镩
om  仁丘伍企佐但低俎缸倥值氫缽翎氬翕僅僵饉仨仜仩仝体伾俓倵倕傞傝翛儃韱儮饘亼仺伨伹佂佄俹飷丛仾伫佥佱侙俨俭傓傟傩氢氢氩钨钲钳钵钽铔铛锤锥雠餷饠鳘鸧鸧鸰鸰鸺鸺鸽鸽鹤鹤鹪鹪
on  乞仃仇今伉佇佛例侈俐俞氟倒們飢停側偷創舒劍劊仉气仡仱刉佤侀侇侺剉倳瓴飣劁儜儚甒餰亇伃侴偂凭刏剣缻亿侧偧创刢刽剑哘钇钉钊钌钤钪铏铡锣
oo  伕肉似佚佻俠促氦傢飲僕像儉歙伬侅佽肏倢欱偍傱僉歈僛跾儊儗餩歛餯饛仌从众俽倈倹偼傼儫欦欫歓罀飤餆龡乑伥侦债倾偾缼货贪贷赁钡钦铁铫锁锧锨锭镄镓镟镢镤领颌颔飮
op  化代仳佗佬念悠您傯愈億憊餛儷伈侘佌侂忥怹怤倱屔恁偲悆飥僁僽儢儱矲龕伲俧偬僡僫慜仑仛伦侤倊怂恷钅钙钫铊铌铐铑铽锟锪锶锷镑镲龛龛
oq  件年伴佣佯俸拿氧偉健舞侔牮僯犨佭侓僢儛搻犫伡伡傤僲罉铎链键镎
or  合何估佑伽伺佔佝含知舍信侶俗侷倌倍倚倨個倘倉偌售傖飼飴僖餉館佁佶侗佪佸侞佫佮俉俖倜啎傛缿傴餂餇儋樖饇饎佀佋佦佲侣侰俈俰倃偘傏僐僒舎舘諐讐餎餢餹饍饝倁倽儙钴钶钷钻铅铜铝铦铪铬铭铷铻锆锔锕锘锜锢锫锯锻镕餄
os  仍仿氖作矩傍飭雋仂佢侉俜僗侽俲偔働儁勄勧隽飵餝们们伟伤侤勶钔钜铖铹锄
ot  位併侖盒短氳餅儘伳侐弇偋缾餖盦饁饐罏侠侸僜僼儖氲盫饂饚俫倴傡钘铗铼锎锛锰镒镫餴
ou  仙缶侃岱岳倦俺倔倪飩毓飽僥覦饒仚屳优伔伅佡氙佹侁俋俔侻俛倇俷峹偗氪傜傂僊嵞毹僦僶儭佨侊俒俿偱傹睂罁観飿鼅仓伌伣伧侥侥傄傥儬覙觎钆钝钯钼铇铙铠铣铯铳锍锐锩镅镋镜
ov  佞依食倀倭氨偃偎偯袋矮儂餒餵佷侒姇俍侲俀俵衾偡偠偈僂儇餧儠餲儴饟値倿偸偻儾兪餣侫侬钕钺铓铱铵银锒锿镂镮镯镵长餏餦饢
ow  佃儅儡餾氥偪偤畣酓畬僠伷価俻倲偹傗氭畲畲钿铀锚锱镏镧镭
ox  儕餡偛饀锸
oy  仆侮俳佧佟侜氡翖飰仒侭傓傟矪钋钧
p   心
pa  旨旬怕皆惜憎曶恉恂惛愔慒慴憯惽懀旾愭愭暂
pb  怖匍悄情惰惴慵懦怲悀悁悕惀惼愶愲慲憰憪憡憍憜胷悑辅辆
pc  怵頃慎頓慣憤穎懶怬惍貰慊慏愩憒潁熲顈懭懫懻惧愪愼懙眞銞頴怾懗轵顚
pd  也悖悸惇慄愾懍匊恘悃悇粊惏惈惵惸憟懆橤忚怽枈枼东枭椠轷轹
pe  愎慷慢皺忮忣怓悛惙惾愋愯懮懪戄怶懓匓怺慑轰辍鹱
pf  恢愀憬憔憮怀炰悰惔惊愫慓駂憭鴇鴝繠鵴鶛鶵戃慽憏灳鴓懔辌酽鴲鷆
pg  忸怪惟惶雊憧懂雛懼坒恇恮悝悜慳慛墯懽觺忹恎恠憆懛堑悂悭轾辁
ph  切勿必悌惕慘忉怭毖愓憀憉慯轸
pi  勺勾忖忪怯恃愧怜惤慅慱憳懤懱匇忲忶怰恡愽乸懡轫转
pj  悍悴悻悼憚懾忏匉忤怦惲愅慞憛懌忓忰惮愺慩毕轩辑
pk  匆匈快怏憫懊忕忷恔恟悷慀慔慡憿懨忟恼悞悩悮愌愞愥愱慠憞敂匁怄恹悯轪较辏辙
pl  悚鄒慚忡忻邲斪郇愐忦邨邭惭轿邬
pm  勻怔性怛恆惺懺怚怌悾愃慬慖恒忛恜惐憈憻乌怟惨愵懴轻轼鸟鸢鸨鸨鸫鸲鸲
pn  刎刨怫惻愉乜勼忔忴恞恀匑懧懰够忊忬忼忾悙悧懜凫忆恻轨输
po  愜疑忺怢恌欨惿懅憸懥懞勽匃惞憷懝欵怅悏惯愤愦懒贳软轶长门顷顿颍颎颕颖
pp  比忽怩惚憶憾忯怋恅悿惃惢憓怱惗愡愢憁憽懚懳匂恗毙轮辊辘鸵
pq  肄憐懈怑甮恈愇怿恽恽车辚
pr  句怡恰恬恫恪悟惦惆愴怙怊怗怐恛恄恦訇悎悺惝匒愘慥慪憺匔吢悋憘匌愹轱轲轺辂辖
ps  劬愣愕慟怍怮勓勩忇怇恊愑憦懄懏勚恗恸轳
pt  世恤慍愷恲悈怈愠憕懢惬辒
pu  屯包忱恍悅芻惋慨慌懵忨忳匋怳怉毞匎悒悗惓覕愮憱憢憴忧恑悓悦愰慻尧岛忋怃怆恱恺轧轭辄
pv  忙恨悽悵惘愒懷怴悢袃愖愝愄慺懁懩懹匄恾憹懐袅辋辕辗
pw  甸匐惱怞恓愊慉憣懎匘轴辎辐
px  慆懠惂
py  悔忭悱匀慃戂愵翘辀
q   手
qa  拍指春措揩替摺抇晢揝搘搢摍撦摿耤擼捪揞撍擆撸
qb  青捎捕捐掃掄揣揹搞搆摘耦擒撾攜抈抪抩拺捅掯掮掤掅揥揟揙搠搹搰搚摛撊撟撱耩擩擿帮幚抦摕擟耣抐掚鬶鬹
qc  扒拱責損撰擴擷捇掽捵掑摃搷搛摜撗撌銴頛擯攢抧捠捦揁攅攋攧耫賛挜摈摈鋬
qd  耒拖捆秦探掙採掬揉搽操靜扜扡拵耔挬捊捈栔捰揲揓搮搡摷槼擛擽攗抺挅搩搸摢擈攈静靝拣拣挆挣椝韦麹
qe  技扳投披泰授援搬搜撥撮擭擾攫扱捄捘洯掫掇捸摋耰抜报捜掓摱耚耯麦拨拨掕揼摄韨韨
qf  素掠捺揀揪摭撩撫撚擦擦抔拻掞焎撝絜搣摀搎摽摵摞鳺攃鶄攩攥纛摖撔撨烲熭紥热焘焘絷
qg  扭拄拴挂挺挫捱推握摧撞擁擢攤挃拰捔捚揘揰搉觢撋攉攡埑扗抂挰摼擓擡擮攞垫掴摊摚柽
qh  抄扮拐揚摻抮捗耖摎摥挮挱掺扬扬挧掦
qi  找拇拎持毒耘搏搔蜇撙耨攙蠢扠扚抎抾拊捋蛪摶撠撏擉擣攭寿执抅拡捬搙摆摪摾擑专払扩抟挝挦掻韧蛰韧韧
qj  丰抖抹抨捍掉揖揮摔撢輦擇攆攝扞扦挕捙捀捽捭揇搟摓摙撣擗扟拝搑搱撪撶擀繛丯挧掸
qk  抉抆拔契奏挨掖捩揆揍換撇撤摸撒擻扙扷抰挍挭捑揳撖擏撽擙擫搝摤撴擜扨抠挞换掷揬擞
ql  折抑邦押挪撕擲扴邞抻挋揤郬揶摲擳擤鄻挷挿捒捓揷鄼挢挤掵掷撺麺
qm  扛扯抵拭拯捏彗控捶搓摑擅拑抯挳掝掗挻揎揯搦搨搧攕抣抷担拞挡掋揑揸摌攊耝扫拦挜捡搄摊摣鸷鸷
qn  打抗抒拂挖捌捫擰扢扲拸拶捯揨揃揄攍剨扏扸拠挗揦摉擶乴拧挒耓靔靔
qo  夫扶抓挑挾捉捷掀提撲撳據撿靛擬扻抶抸掟掾摦摐踅撅擨攓択拟掶搲摗擹攨扖损掼揿揿摂撷擌攒耭责贽麸
qp  托批抿拽捻慧撼擺攏扺抳挓恝悊掭掍揌惷摁摝摠憃攄攇攦抋拕捴掲搃撡抡拢揔摅
qq  奉拌挈捧撐撻掱掰揵搿摨抙搼撁撑撛攑拥择挚挥挥撵擵辇辇
qr  扣招拓拈拘抬拮括拾哲捂捨耜搪搭搶誓擔擱挏挌砉挶捃捁掊掂掎据耞耛揈硩搳搥摳撂撘抲拁捛捾掿揢搈攚搁搁耠耥耱
qs  扔拒拋拗拷勣搾撈擄扐挎拹耟搒耡摴耪势扝抛抝携擕耮劧扪扪护拃拃挘挘捞掳耢韦
qt  拉拚拼耕摒抴揜搤搕搵撜攎抍挟挵捹揾撎掹擝韫韫
qu  扎把扼拙抱挽耙耗捲掘掩掏規搖搗撓撬齧攪攬扤扥抌抏扰抁扽抭捖挹挩挸捥掜摡揗搊搋摬摫靘靚拀挄捝捤捳掆揺摇撧撯撹邫兓击抚抢挠挠捣捣揽搅毮艳艳规靓靗
qv  表按振接揭摟攘拫挀挔挼捼掁揠揕揋搌裚嫢擖擐擃耬擸攁攐攌攖攛攮捿搇娎揻搂撄耧耲
qw  抽描播擋擂攔揊揂搐拪攂攂
qx  舂插擠掐搯摏韬韬
qy  扑拆掛排抃挴攠扵拤靑挊搀
r   口
ra  啪唱問嘈踏嚐嚕躇咰唶喑喈喒暋噌噆踖噲踳噾蹜蹧蹭躤咟啫昬噜囎踷
rb  吊吶哨唷哺唏啃啼喘喟嘀嘲嘴噙蹄踹嚅蹣蹦肙咂呥咘啢喁嗃嗋嗝嗍踊踃噊嘺踚踽蹁嚆蹐蹢蹛蹻躎呐咉哊啨嗗嘃嘱噧跀蹫呙唡嗵嘣蹒蹒
rc  只叭哄趴員巽跡嘛嘖噴踫噸嚇蹟顎躓呬哧唄唭嗛嗊嗔嗩嗿噀嘳嘪踑蹎嚝蹞嚬蹪嚽囋躦呉唫唺巺呮哑躀
rd  吁呆味呼咪咻哮喋嗓跺跦踝踩噪蹂躁囌吇咮哱唋趶啍啋喿喍嗏嘄踍踘蹀躒咊哋哚哹啉嗪嘑嚛嚹槑跊吔咃跞跥跥踭
re  吸吱呶唆啜跛噯踱唚啵跂趿喥嗄嗖敯踆嘬踙踧踜嚄嚃嚘嚗蹳躞躩躨叚叹吺咏喛嚟唛嗫嗳蹑
rf  啖啾嗦嗎嗚嗉鳴嘹嘿噤鵑嚥鷺吙吥噅喣嘕嘌嘁嘸踿鴞嚓蹠鶚鷕鷤呩咴唙喺嗻嘫噄噍嚑焁踪蹨駡鴖鶰噝蹽
rg  吐呈哇哩唯喔喱踵雖躍囉躪吜咥唑唃啀喤跓跬跮跧嗺踛踓噰嚁嚜蹚囃嚾躔躣哐喠噇噻嚯囄躙啯喹嘊嘊嘡嚡囖蹱躏
rh  叨吩吻吵呀嘐踢咇唦哤喭跈踄噦踼啺嘇嘭蹘叧哛
ri  吋吆咐哦喲嗤戢嘎嘰踐戰蹲嚼躅囀躊囈囑吰呔呿呣呤哷趵跗嗕跱噂噚噣蹡嚵囆躕呍呟啲嗞嗴嘠嚉嚒虽蟁跉蹰哕哙哟唥唥啭啭嘚嚋嚩嚱导践踌
rj  啤喃單嗥嗶嘩蹕囁躡吘呯咡咠哻啐啅啈斝嘝嗹嘽嘾踤踔噿蹥叶吀呌咞哶唓喗嘷噑躃哔哗唕唞啴噼跸跹
rk  吳吠咬哎咽咿哭唉哽唳喚喉喫跋嗅跤嗾嗷噢蹊獸嚴吷呅哅敃趹嗼噉噳噭躈吚吴呚咲嘋噋呕哒唤嗘嚈囐攺跃跶蹾
rl  叩叫听呻呷哪唧郢啣鄂嘟鄙嘶躑吤哳郘啷喌喕鄖斲鄲鄳鄵吖吲喞嘨嚊踈踋卾卾哜唽啸喐噺跻踯蹿郧
rm  叼呸咀啞趾喧喳唾嗟嗡噓蹉蹋呁咁呾呠呧咺唌跙嘒嘓蹅嚦躖叿唨啌嘘踁躢吗呜呜咗咝哑唖囖翤蹹躏骂骂鸣鸣鸮鸮鹃鹃鹗鹗鹭鹭
rn  叮吃別吭吟咒咦咧哼喇喻嚀刡咑咈哆唎趷唰嗲跠跢嘜劋踰别剈咓哵嘢噖嚠瓹趻剐呓呝咛哘啰
ro  呎吹足呱咳啄趺喙跌跳嗽嘆噗噱噬嚎嚏蹤蹼蹶咷唗哫唊啶啑唻跿踀噘踕噞噷踶蹝躆呋呹嚔嚺踨叺呗员唝唢啧喷嘥踬躜颚
rp  叱民吒呢唸跎嗯愍噫嚨吪呡咾呲跜跐跩跽噁踗蹗躘吡吣咤唿嚖囇躧咙咜唣喼
rq  咩躂吽哖哞唪喡跘噠蹸躌哰噒跭嗱嚤践踺踺
rr  呂呵咖咕品哈咯唁唔啊啁喀喊跆嗣嗆路嘔跼嘻踟踞器囂呫呴咍咭哃咶唅哠啥喏喎跍跖跏跕嗐嗒跲嘂碞踣踮踦蹌嚚吅吕响唂啚啝啱喖嗰噐噡嚰嚸嚻跒跔踻蹃呞哬啹喾嗬嘼嚣嚣踎
rs  另叻咋勛距跨嘮踴呺呦咢嗙号咵唀嘞趽勋呖唠
rt  啦跚嗑噎蹬呏哢趼啽跇嗌嗢跰嚍嚂嚧呭喅喯噔哣
ru  巳兄吧呃吮吼邑咄咆咱啕唬跑號跪踡蹺蹴吨唈唴唵啒唲跁喨喦嵒嗈嗂跣黽嘧睯踂噈嘵踠氉嚙嚫躚囓鼉呪咣哯唍啘啳嗁嘅踲蹏黾叽呒呛哓哓哾啂啮噛囕蕏覨跄跷跷蹮鼍
rv  喝喂跟嘍噥噶嚷嚶饕哏哸唼喓啿踉踥踒噮踸蹍辴囅躐躟囔躥咹哌哴唩喩喴嘦蹆飸哝啛喰喰喽嘙嘤
rw  哂噹唒喵跴踾蹓蹯躝嗮囒噃
rx  啗嘯蹈躋喢嚌蹖嚪嚿
ry  咚啡嗨唹跅踇卟吓咔噏啩翤蹹
s   尸
sa  屠習層職馹鬊鬐騽驓鬙鬠駨鬝匫
sb  匝帚屑匾腎髯臂臀騙鬍驕屌聃幦翯駽髾屩鬅鬌鬗驈驨属屫帬聙聥馷駚屚脋镾鬜
sc  匹咫匱賢駟頤翼鑒鬚鬢驥屄頨鋻頵聵賾贀騏顟鬒鬑屭驞顳刅匵屓贒鍳頣髸鬂职鐾鬓鬓
sd  屎屘孱馳檗匜棸屧髹駼騍糪騥驏驧孠孹屟杘駞駯驜髢髤鬇孯驝
se  尿取屐馭殿履毆駿翍馺敺翪髲駸騄騢騣騪鬘殴翄馶駊騡髪鬉叞屚彟殹聂聂臤驋
sf  耿馬熙緊熨鬃騵驃騾鷗焄焣鳭翞鳲鴄燛繄翵屪鵋鵘繴镽鶋鶌鶠鷚鷖鷵黳鷿鸐驠驫灵綤聮聺騌驣煕騳鬏鴎鵈鸊
sg  匡屆屋堅匯聖翟駐壁朢壂駤駩髽騅雡騜匷驖驩埾匨匩
sh  刀劈匢翂髟翏駜駗髳駹鬄驂鬖刕聁聄鬀髿
si  刃尉聆尋戮駙戳璧鬆騷屬耾馰蜸駖瑿螶颿飁騩匤尀屗聀螱駄騀卪寻层耺聭镸镸騒
sj  耳辟翠聶驛屖聑馯匰翬駍駬駥髶翴騂駻髼騲驆騿驔驊驒屛翆聛騈鬔肀騨
sk  尹改馱駁駛髮翇镺駃駇翭聧駮駰騃騤騱鬕驐刄区医聅聫馼騻眍联駆
sl  匠臣匣那邵耶郡聊郾馴鄹邔卲翀郰聏臦鄝馽鄩臩駷斸卩邼馸駠髵駲
sm  刁羽翳€羾聇聝聜駓駔髬聬騸騹驉驙匞昼耻耼駈駳髥丒丒习匩卫歰骟鸤鸤鸥鸥鹥鹥鹨鹨
sn  刷防勇匟刵耵耹剭匭聤鬁甓騚鬋鬎聹凥刟剧剹剾劚瓯騟髠髴鬡乬匦匦匬巪瓺聍
so  尺臥聚歐駭驗驟翐镻翜屣翨駣毉騋騛騠躄匧匳欧欩聎聗镹匛匮卫屃聢聩臋赜赢颐颐颞飅駅験
sp  尼屁忌忍屍恥慝慰駝髭聰聽驪馲憵騉騬驄悘聡聦聪聴騐騘騦騼
sq  犀群肆擘羼掔犚騝驎擥羣翚翚
sr  召司叵君局居匿區聒駒駱髻臨騎譬驅匼屙翑聐硻駉駘駋髫駧髺駶騇騆聸騧騞匲礕譼聕
ss  巨劻聘騁劭聈髣駏勠馿駵騯髩
st  屏羿屜翌監豎駢聯鹽驢异翋馵匴駴盬匥屉彛竪聠聨髰
su  己已凹尾兕屈耽髡髦覽驍耴毦毣覗馻髧翫镼髱駪駾騊鬈騶鼊驦巶瞖聉聣覧馾駀駫髨巸覠
sv  長展娶屢屨褽襞鬣妀匽婜媐嫛翣嬖褧駺騕騔騴鬞鬟驤鬤屒屡裠屦鬛
sw  醫屇駎髷騮届驑
sx  驌匶
sy  匪屝騑卧尽习
t   廿
ta  昔荀曹普著暮蓿薯藉藷菖萻萶萫蓍薈鞜藸蘵苩萅萡蓸蕌蕳蒈蕏藠
tb  芾苒朔莆期菁萌萬蒂葫葡幕蒿蓆蒲鞘藕芮苪冓茦莔莃莦菕菺黹萭萹蒴蒚蒱蓇蒨蔏蔕蓪蓨蕅蕀蕑蕱蕎鞙薃薖薷薾藡黼羺蘛蘥蘬帯朞蒒蒳蓢蔳靹鞲鞴鞽带芇荫莴菷萠蓠蔐藊鞆
tc  共並其典兼黃蘋鑿萁菳萯蓂蒹蔩頩蕡蕆蕢蕦萯薠薋蕻蕷羵藇藚藬顜藾顢蘱韇顴刾剙苉葓蒖蒷薲藖蘈蘏顭黄业苏茓蒁蓥蔶蔶蕒蘔鞼
td  芋某荐茶茱荸荼孳棻菌菊菜業葉葆檠鞠鞣藥孽藻蘇蘗芓茠莩莯菋菻葹葇槊蒤蓁蒢鞂蔝蓧蕖蔾鞢蘪蘜孶棊糳糵苸茡荢荣菒菓葈蒣蔴薒薬薻藁蘂蘃蘽虊鞟苇苿蒁蒅蒾藳鞯
te  芟芰菠菱菽菔葭蔓蔆蕞叢藤夔芨苃羖羕莍荾莈菆菣菡菉皵羧萲葰葠葮靸蓌蒰蒑鞁蔻蔎蔱蔋蕧蕔薣蕸薆薐藙藜藑蘉羻韄汬葲蓃蓡蓤蕟蕿薓藧蘐蘷虁荥葼葼蒦蒦蘰
tf  芣羔荻煎蒜蒸蓀蔗蔡燕蕉蕪薰薦鞦鵲驀蘸驚韉鸛苂苶菼蒍驚萰萩綦蒝蓔羰蔫蔈蔒蔂蔦羱蕮蕠蕬鵧鴱藀藄蘤薸爇藨鯗蘌鶜鶿鶧蘩鶼鷁鷋蘻韅鷷鷰鷬鷨虆鸏繤羙萗萘蔿薫藔藛藮蘓蘨虅虉韀鴹鸈炗茮荧荪萦鮺鮺鶓鷀
tg  荏荃基羞莊塑董墓鞋薹難藺蘿芏茌茥荎茬莝莛莥萑雈葟蒮蓷蓶蕫蕥薙蕹黈藋薶雚藿蘣蘳蘲蘺虇坓塟茎荘荲蓕靯鞓鞺黊茔荰莹蓙蔺薼靵
th  芽芬茅茂剪莎蕩芀芴苾羒莏菞蒶蓼蔘蕛黺薚薉虋尠羏苐茘荹蓚豑芗芿苆荡萨
ti  芍芸苓茲羚尊菟戡義對蒐蔚蔭蔑蔣薄繭藝丼芃芄刱芶苻苰苺茷茧莪菘菂蛬靮葑葯蒬蒪蓐蒔鞃蓻蓺薱蓾蕓蕁蕺薎薅蕶薵薱蟴藱蠆蟼蠤鞿蘶蠲飌兹兿羗芕荗菚萈萟葤葻蒄蔃藌蜝蟇蠚靭韈苏荟荨荮药莳莵萤蒋薥靫
tj  卅茉革茸草莘萃萍華斟葷蓮蓬蕈薜薛芊苹茙茿莗羢萆靬葞葺萳輂斠蓒靺蔊蓽斢蕇鞞藫蘀莑萪蔁蔛蘕丗丵丵凿凿卙芉茕荜薭
tk  艾美英茵莫奠散敬猷葵鞅蔽薇鞭羹藪芠芛芵芺茇茭荍茯菝葖葔蒺蒛蓛蔟蔜薁薂黻藈藢蘞剏彂敟羮芆茐茣莄莜获葜蒵鞇鞵敾芖茰荙荬蔲蔹薮靱鞑鞕
tl  芹芥茆斯鄞鄭鄴薪邯郱茞荋斮菥鄀靳靷鄚斳蔀蔪蓹鄯薌薡鄸酀鄿蘄鞹酄茒茝莭菦蓈鄷丗养节茚茽荞荠萕萧蕲邺邺郑鞒
tm  甘芷苯酋差莖翔萱蓊靼薑薩羶韁芢苴苤茳荁堇羝荺莚菹菧菫萓羥葅菙葒蒫蒻蒩靻翦蔧蓳蔖蔮蕤薤鞚馘藶蘙虀虃苷苼茋蕋蕯韮业兰羟羟羫苎茊茊茑茑荭莶莺莺蓦蔺虄鲝鹊鹊鹋鹋鹚鹚鹢鹢鹣鹣鹲鹲鹳鹳
tn  前苧荊瓶莉夢甍薊艼艽芎苀芧芞芩茀剒荑茢茤荇羜羛荶靪羠莿菿菛葶葥萷萴靲蒯羭蕍薴薽藅藭藰蘅蘮剳劐夦甆甉荆萮葕鞩黅剘艺芁苅荝莂萝葪蓟
to  芝芙茨莢欺萊菰萸羨歉蒙歎蕨躉歡芡羑苬苡苵荄荴莁莰羡萣萐菮歁蓏蓗蔌蓫蓰蓯蔙薟藃藂薿鞮羷藗蘧躠臡欮歏苽莡蒃蓵蘝鞉歚羐苁苌菐菐蒇蒉蓣颟颧颧
tp  花芯恙恭慈惹靴慕蔥蕊蕙薨芅芘苨苠荖茈莣荵惎菎菾葸葾愬蓖蒠蔍蕄懃憼薏薧懟藘藣藯蘢蘟戁芪芲苝菍萞葱蒽蕜藼茏莻莻蒊
tq  羊葦摹擎蘚韃拲荈菶葎蒘靽蕣蕼薢薘藆鞬藦羴茟葏鞸鞾芈苚荤荤荦莲莲萚蕐藓
tr  苛苦茄若苔苟茴茹茗莒荷善菩菅落萵蓉蓓蒼蘑警茍苕苫茼茖茩荅莕莙菏菇菪菬萿葀葴葋蒟蓎蒧鞀羬蓲諅鞊鞈蕗薝鞝鞫藲藞鞳蘁蘦虈碁甛苘苢莟菭萂萔蔄虂謩譱鞛囏萜营韂黇
ts  芳苣荔勒勘莠募勤萼羲藏勸艿苲苭荂莋荿莇莮菃葧葝葃葂葄蒡靿勱蓩劳艻芌芦蔵蕂蕚蘍劷芿苇苈荕
tt  井并益莽葬蒞蓋藍蘆蘊卌苙荓荳菈萛蓱葐豊靾薀鞡藎鞥蘴盖茾莅萾葊葢蒀蒕蕰藴蘫蘯皶荚莱莾蓝蕴鞰
tu  羌芭巷范茁苜苑苞首荒莞莧菴萄葩靶蔬藐覲韆觀芑芫芚芼芤茺茪莐莌艵菀萒菤萉菢靰羦葙蔇萺蓅鞄蔤蔨蔰瞢蕘蕝鞔薍覯氋藽齹虌着羓艶芜苮荱萀萖葿蒓蒭覥黆屰苊苋苍荛荛莬莸莼萙萢蓜蔸蘎蘒觍觏觐
